J,V,exact_E0,vqe_E0,abs_error_E0,success_E0,iterations_E0,exact_E1,vqe_E1,abs_error_E1,success_E1,iterations_E1,exact_E2,vqe_E2,abs_error_E2,success_E2,iterations_E2,max_abs_error
1,0.0,-1.0,-1.0,0.0,True,0,0.0,0.0,0.0,True,0,1.0,1.0,0.0,True,0,0.0
1,0.06666666666666667,-1.002219758558194,-1.0022197585581936,4.440892098500626e-16,True,4,0.0,0.0,0.0,True,0,1.002219758558194,1.0022197585581938,2.220446049250313e-16,True,5,4.440892098500626e-16
1,0.13333333333333333,-1.0088497300281036,-1.0088497300281039,2.220446049250313e-16,True,4,0.0,0.0,0.0,True,0,1.0088497300281036,1.0088497300281036,0.0,True,5,2.220446049250313e-16
1,0.2,-1.019803902718557,-1.019803902718557,0.0,True,5,0.0,0.0,0.0,True,0,1.019803902718557,1.019803902718557,0.0,True,8,0.0
1,0.26666666666666666,-1.0349449797506682,-1.0349449797506685,2.220446049250313e-16,True,4,0.0,0.0,0.0,True,0,1.0349449797506682,1.0349449797506682,0.0,True,0,2.220446049250313e-16
1,0.3333333333333333,-1.0540925533894598,-1.0540925533894598,0.0,True,8,0.0,0.0,0.0,True,0,1.0540925533894598,1.0540925533894598,0.0,True,0,0.0
1,0.4,-1.077032961426901,-1.077032961426901,0.0,True,7,0.0,0.0,0.0,True,0,1.077032961426901,1.077032961426901,0.0,True,8,0.0
1,0.4666666666666667,-1.1035296904831233,-1.1035296904831233,0.0,True,10,0.0,-1.2351906020580744e-20,1.2351906020580744e-20,True,0,1.1035296904831233,1.1035296904831233,0.0,True,9,1.2351906020580744e-20
1,0.5333333333333333,-1.1333333333333333,-1.1333333333333333,0.0,True,5,0.0,0.0,0.0,True,0,1.1333333333333333,1.1333333333333335,2.220446049250313e-16,True,4,2.220446049250313e-16
1,0.6,-1.16619037896906,-1.16619037896906,0.0,True,18,0.0,-3.5854134265499235e-22,3.5854134265499235e-22,True,0,1.16619037896906,1.1661903789690602,2.220446049250313e-16,True,7,2.220446049250313e-16
1,0.6666666666666666,-1.2018504251546631,-1.201850425154663,2.220446049250313e-16,True,5,0.0,0.0,0.0,True,0,1.2018504251546631,1.201850425154663,2.220446049250313e-16,True,0,2.220446049250313e-16
1,0.7333333333333333,-1.2400716825158848,-1.240071682515885,2.220446049250313e-16,True,12,0.0,-6.333806018127338e-21,6.333806018127338e-21,True,0,1.2400716825158848,1.240071682515885,2.220446049250313e-16,True,1,2.220446049250313e-16
1,0.8,-1.2806248474865698,-1.2806248474865698,0.0,True,5,0.0,0.0,0.0,True,0,1.2806248474865698,1.2806248474865698,0.0,True,8,0.0
1,0.8666666666666667,-1.3232955494186138,-1.3232955494186138,0.0,True,5,0.0,0.0,0.0,True,0,1.3232955494186138,1.3232955494186138,0.0,True,0,0.0
1,0.9333333333333333,-1.3678856352455462,-1.367885635245546,2.220446049250313e-16,True,15,0.0,-3.0728024054528384e-20,3.0728024054528384e-20,True,0,1.3678856352455462,1.3678856352455462,0.0,True,5,2.220446049250313e-16
1,1.0,-1.4142135623730951,-1.4142135623730951,0.0,True,16,0.0,-4.6666862666200315e-20,4.6666862666200315e-20,True,0,1.4142135623730951,1.414213562373095,2.220446049250313e-16,True,7,2.220446049250313e-16
1,1.0666666666666667,-1.462114146630754,-1.462114146630754,0.0,True,21,0.0,-9.738793495767838e-22,9.738793495767838e-22,True,0,1.462114146630754,1.462114146630754,0.0,True,1,9.738793495767838e-22
1,1.1333333333333333,-1.5114378731672846,-1.5114378731672846,0.0,True,16,5.5511151231257815e-17,-3.203233720787525e-20,5.55431835684657e-17,True,0,1.5114378731672842,1.5114378731672844,2.220446049250313e-16,True,1,2.220446049250313e-16
1,1.2,-1.562049935181331,-1.5620499351813308,2.220446049250313e-16,True,6,0.0,0.0,0.0,True,0,1.562049935181331,1.5620499351813306,4.440892098500626e-16,True,7,4.440892098500626e-16
1,1.2666666666666666,-1.6138291249213608,-1.6138291249213608,0.0,True,14,0.0,-8.249530223188067e-23,8.249530223188067e-23,True,0,1.6138291249213608,1.6138291249213608,0.0,True,8,8.249530223188067e-23
1,1.3333333333333333,-1.6666666666666665,-1.6666666666666667,2.220446049250313e-16,True,5,0.0,0.0,0.0,True,0,1.6666666666666665,1.6666666666666667,2.220446049250313e-16,True,6,2.220446049250313e-16
1,1.4,-1.7204650534085253,-1.7204650534085253,0.0,True,12,0.0,-5.798384640510665e-17,5.798384640510665e-17,True,0,1.7204650534085253,1.720465053408525,2.220446049250313e-16,True,6,2.220446049250313e-16
1,1.4666666666666666,-1.7751369274259128,-1.7751369274259128,0.0,True,7,0.0,0.0,0.0,True,0,1.7751369274259128,1.7751369274259132,4.440892098500626e-16,True,6,4.440892098500626e-16
1,1.5333333333333332,-1.8306040290327976,-1.8306040290327972,4.440892098500626e-16,True,59,5.551115123125782e-17,-5.872106893799703e-19,5.609836192063779e-17,True,0,1.8306040290327972,1.8306040290327972,0.0,True,6,4.440892098500626e-16
1,1.6,-1.8867962264113207,-1.8867962264113207,0.0,True,15,0.0,-2.0832749918052077e-19,2.0832749918052077e-19,True,0,1.8867962264113207,1.8867962264113207,0.0,True,7,2.0832749918052077e-19
1,1.6666666666666667,-1.9436506316151,-1.9436506316151,0.0,True,13,0.0,-5.274782698007521e-21,5.274782698007521e-21,True,0,1.9436506316151,1.9436506316150999,2.220446049250313e-16,True,3,2.220446049250313e-16
1,1.7333333333333334,-2.0011108026404845,-2.001110802640485,4.440892098500626e-16,True,47,0.0,-2.262324664334945e-22,2.262324664334945e-22,True,0,2.0011108026404845,2.001110802640485,4.440892098500626e-16,True,9,4.440892098500626e-16
1,1.8,-2.0591260281974004,-2.0591260281974,4.440892098500626e-16,True,8,0.0,0.0,0.0,True,0,2.0591260281974004,2.0591260281974,4.440892098500626e-16,True,8,4.440892098500626e-16
1,1.8666666666666667,-2.1176506899024785,-2.1176506899024794,8.881784197001252e-16,True,20,0.0,-9.111874031314108e-23,9.111874031314108e-23,True,0,2.1176506899024785,2.117650689902479,4.440892098500626e-16,True,3,8.881784197001252e-16
1,1.9333333333333333,-2.176643695641934,-2.176643695641934,0.0,True,8,0.0,0.0,0.0,True,0,2.176643695641934,2.176643695641934,0.0,True,3,0.0
1,2.0,-2.23606797749979,-2.23606797749979,0.0,True,11,0.0,-1.4135443629374072e-17,1.4135443629374072e-17,True,0,2.23606797749979,2.23606797749979,0.0,True,6,1.4135443629374072e-17
